Trigram,Frequency,Relative Frequency
ого,534,0.007002727654217373
іст,465,0.006097880822492656
сто,423,0.005547104490138481
ить,377,0.0049438732689886696
уст,356,0.004668485102811582
про,331,0.004340642047838858
фау,303,0.0039734578262694085
аус,303,0.0039734578262694085
ель,295,0.003868548048678137
ста,286,0.0037505245488879562
фіс,279,0.0036587284934955938
ефі,278,0.0036456147712966847
офе,278,0.0036456147712966847
тоф,277,0.003632501049097776
фел,277,0.003632501049097776
меф,276,0.003619387326898867
при,274,0.003593159882501049
мен,270,0.0035407049937054135
ати,247,0.003239089383130508
від,245,0.0032128619387326897
тьс,241,0.003160407049937054
ься,241,0.003160407049937054
так,237,0.0031079521611414185
пер,224,0.0029374737725556023
ний,208,0.002727654217373059
ост,206,0.0027014267729752414
зна,204,0.0026751993285774236
ння,200,0.0026227444397817876
оло,200,0.0026227444397817876
віт,199,0.002609630717582879
ому,187,0.0024522660511959713
роз,182,0.0023866974402014266
сві,175,0.002294901384809064
ере,174,0.002281787662610155
оди,160,0.00209819555182543
тво,157,0.0020588543852287033
ені,153,0.0020063994964330677
кол,148,0.0019408308854385228
він,148,0.0019408308854385228
іль,147,0.001927717163239614
ись,143,0.0018752622744439781
вор,143,0.0018752622744439781
сти,142,0.0018621485522450692
оли,142,0.0018621485522450692
ити,137,0.0017965799412505245
сті,134,0.0017572387746537976
пов,133,0.0017441250524548888
кра,133,0.0017441250524548888
ува,133,0.0017441250524548888
мов,133,0.0017441250524548888
ось,133,0.0017441250524548888
ові,131,0.001717897608057071
стр,130,0.001704783885858162
рит,130,0.001704783885858162
раз,129,0.001691670163659253
ним,129,0.001691670163659253
ебе,129,0.001691670163659253
ене,129,0.001691670163659253
обі,126,0.0016523289970625263
ськ,125,0.0016392152748636172
анн,124,0.0016261015526647083
кий,124,0.0016261015526647083
дит,123,0.0016129878304657994
оді,123,0.0016129878304657994
вже,123,0.0016129878304657994
них,122,0.0015998741082668905
оро,120,0.0015736466638690725
ють,120,0.0015736466638690725
льн,118,0.0015474192194712547
ист,118,0.0015474192194712547
сть,117,0.0015343054972723458
аль,116,0.001521191775073437
ать,116,0.001521191775073437
тра,114,0.001494964330675619
час,114,0.001494964330675619
йог,113,0.00148185060847671
ьки,113,0.00148185060847671
али,113,0.00148185060847671
пра,113,0.00148185060847671
рав,113,0.00148185060847671
ови,113,0.00148185060847671
ари,113,0.00148185060847671
ття,112,0.0014687368862778011
вер,111,0.0014556231640788923
жит,110,0.0014425094418799831
ори,109,0.0014293957196810743
уть,109,0.0014293957196810743
ход,108,0.0014162819974821654
одн,107,0.0014031682752832565
єть,106,0.0013900545530843474
але,106,0.0013900545530843474
тут,106,0.0013900545530843474
енн,105,0.0013769408308854385
вал,105,0.0013769408308854385
